Français,Japonais,Romaji,Kana,Origine,Leçons,Type,Theme,Image,Sound
toi,あなた,anata,HIRAGANA,,1,pronom,,https://drive.google.com/open?id=0B4zoyKhJnnjuVXFWSGRQcGFKUGc,https://drive.google.com/open?id=0B4zoyKhJnnjuSUJuVk9nNFNsdlk
moi,わたし,watashi,HIRAGANA,,1,pronom,,https://drive.google.com/open?id=0B4zoyKhJnnjuVXFWSGRQcGFKUGc,https://drive.google.com/open?id=0B4zoyKhJnnjuZmVjcGJpRGxhRzg
nous,わたしたち,watashitachi,HIRAGANA,,1,pronom,,https://drive.google.com/open?id=0B4zoyKhJnnjuVXFWSGRQcGFKUGc,https://drive.google.com/open?id=0B4zoyKhJnnjua0NNU0tiTUV5QVE
vous,あなたたち,anatatachi,HIRAGANA,,1,pronom,,https://drive.google.com/open?id=0B4zoyKhJnnjuVXFWSGRQcGFKUGc,https://drive.google.com/open?id=0B4zoyKhJnnjueVhxUGtQNm1XQjA
lui,かれ,kare,HIRAGANA,,2,pronom,,https://drive.google.com/open?id=0B4zoyKhJnnjuVXFWSGRQcGFKUGc,https://drive.google.com/open?id=0B4zoyKhJnnjudDZRSFdlMEgydjg
eux,かれら,karera,HIRAGANA,,2,pronom,,https://drive.google.com/open?id=0B4zoyKhJnnjuVXFWSGRQcGFKUGc,https://drive.google.com/open?id=0B4zoyKhJnnjuV0xqWlV4WWIxUzg
elle,かのじょ,kanojo,HIRAGANA,,2,pronom,,https://drive.google.com/open?id=0B4zoyKhJnnjuVXFWSGRQcGFKUGc,https://drive.google.com/open?id=0B4zoyKhJnnjuaFQyWmZULVdPMkE
elles,かのじょたち,kanojotachi,HIRAGANA,,2,pronom,,https://drive.google.com/open?id=0B4zoyKhJnnjuVXFWSGRQcGFKUGc,https://drive.google.com/open?id=0B4zoyKhJnnjuVm1FeU9UZjZCTkU
livre,ほん,hon,HIRAGANA,,2,nom,culture,https://drive.google.com/open?id=0B4zoyKhJnnjueXR6aEdqM3VqN2s,https://drive.google.com/open?id=0B4zoyKhJnnjuNWRvT1k5MnBjTVU
dictionnaire,じしょ,jisho,HIRAGANA,,2,nom,culture,https://drive.google.com/open?id=0B4zoyKhJnnjuaFVvX19fUlZqdXc,https://drive.google.com/open?id=0B4zoyKhJnnjuM1lrRVlBQnRObFU
peinture,え,e,HIRAGANA,,3,nom,culture,https://drive.google.com/open?id=0B4zoyKhJnnjuWXVnajZEaGtGX1E,https://drive.google.com/open?id=0B4zoyKhJnnjuUl8xbkpZLVNSLWc
